,Dr. Stone,,S2: sam,S1: Iceblue,No | Yes,sam is own encode+LY,
,Dragon Pilot: Hisone and Masotan,Hisone to Masotan,Drag,,No,Drag is Beatrice+Asenshi,
,Dragon's Heaven,,Beatrice-Raws,,No,,
,Dragonar Academy,Seikoku no Dragonar,KH,RASETSU,Yes,"KH is sergey+FFF. Rasetsu is FFF with dual audio. FFF has slightly better lines but 
tons of detail loss.",https://slow.pics/c/bp1yr2lW
,DragonBall,,iKaos,,Yes,,
,DragonBall Super,DBS,Koitern,SOFCJ+Official subs,No,Both have a different set of issues so pick your poison ,https://slow.pics/c/PdeHJ5yN
,DragonBall GT,DBGT,iKaos,,Yes,,
,DragonBall Z,DBZ,iKaos,,Yes,Insanity ,
,Drifters,,karios,,Yes,,
,Dropkick on my Devil!,Jashin-chan Dropkick,"S1, ONA: Noms
S2: CsS","S1, ONA: Pog42",No,,
,Durarara!!, ,"S1: Drag
x2 Shou: YURI
x2 Ten: Kametsu
x2 Ketsu: Kametsu",,Yes,"Drag is Kuroi+Coalgirls
YURI is Beatrice+Vivid (Kametsu edit)","https://slow.pics/c/5unVYUP3
https://slow.pics/c/4WtCl6u8"
,Dusk Maiden of Amnesia,Tasogare Otome x Amnesia,YURI,,Yes,YURI is Beatrice+FFF,
,Eden of The East,Higashi no Eden,CTR,,Yes,CTR is Yousei+Coalgirls,
,ef,ef: A Tale of Memories/Melodies,ASO,ANE,Yes | No,ASO is ANE with dual audio. Menclave subs. ,https://slow.pics/c/XxtmBe6Q
,Eiken,Eiken: Eikenbu yori Ai wo Komete,Hoodlum,,No,,
,El Hazard: The Alternative World,Ijigen no Sekai El Hazard,km+(?),,,,
,El Hazard: The Magnificent World,Shinpi no Sekai El Hazard,S1: Iznjie Biznjie,S2: Exiled-Destiny,Yes,Tad better video options for S1 but IB subs are much better. ,https://slow.pics/c/ObqZgWap
,El Hazard: The Wanderers,,Lain32,Exiled-Destiny,No | Yes,Lain32 is interlaced so you need a good deinterlacer. Also it's dub only. ,
,Elfen Lied,,CBT,,Yes,,
,Endro!,,KnK+Astral,NH,- | Yes,,
,Engaged to the Unidentified,Mikakunin de Shinkoukei,"YURI
OVA: aro",,No,YURI is Beatrice+Underwater,https://slow.pics/c/c5ilfnXR
,Erased,Boku Dake ga Inai Machi,Arid,,Yes,Arid is Beatrice+Kametsu(edited GJM-eraser)/Commie,"https://slow.pics/c/v8OhxfVX
https://slow.pics/c/xcr9hox3"
,Ergo Proxy,,Shimatta,,Yes,Kawaiika+Golo from CTR,
,Eromanga Sensei,,Exp,,No,Exp is Beatrice+Astral,
,Eureka Seven - Psalms of Planets,,Urotsuki + CG subs,Coalgirls,No,,
,Fairy Gone,,Raws-Maji+GJM/Official,S1: GJM (WEB),No,GJM only did S1,
